question,option_a,option_b,option_c,option_d,correct_answer,explanation
"What important property characterizes matrix multiplication?","Commutative","Associative","Neither","Both commutative and associative","B","Matrix multiplication is associative, meaning (AB)C = A(BC), but it is generally not commutative, meaning AB ≠ BA in most cases. The associative property allows us to multiply several matrices together without worrying about the order of operations, which is crucial for efficient computation. However, the non-commutative nature means we must be careful about the order when multiplying matrices, as changing the order typically changes the result."
"What relationship defines the inverse of a matrix A?","A A⁻¹ = I","A A⁻¹ = 0","A A⁻¹ = A","A A⁻¹ = A²","A","The inverse of a matrix A, denoted A⁻¹, is defined such that A A⁻¹ = I and A⁻¹ A = I, where I is the identity matrix. Only square matrices that are non-singular (have non-zero determinant) possess inverses. The inverse operation is crucial for solving linear systems, finding solutions to matrix equations, and understanding linear transformations. When a matrix has an inverse, we say it is invertible or non-singular."
"What is the formula for the determinant of a 2×2 matrix [a b; c d]?","ad + bc","ad - bc","a + d","ac + bd","B","For a 2×2 matrix [a b; c d], the determinant is calculated as det(A) = ad - bc. The determinant provides important information about the matrix: if it's non-zero, the matrix is invertible; if it's zero, the matrix is singular (non-invertible). Geometrically, the absolute value of the determinant represents the area scaling factor when the matrix is viewed as a linear transformation. This concept extends to higher dimensions where it represents volume scaling."
"What does it mean when a matrix has a determinant of zero?","The matrix is invertible","The matrix is singular","The matrix is orthogonal","The matrix is symmetric","B","When a matrix has a determinant of zero, it is called singular, meaning it has no inverse and its rows or columns are linearly dependent. This indicates that the matrix represents a transformation that collapses the space in some direction, reducing its dimensionality. Singular matrices cannot be used to solve unique solutions to linear systems Ax = b, and they represent transformations that are not reversible. Understanding singularity is crucial in linear algebra applications."
"What defines an eigenvector of matrix A?","A x = λ x","A x = 0","A x = I","A x = x","A","An eigenvector x of matrix A is a non-zero vector that satisfies A x = λ x, where λ is the corresponding eigenvalue. This means that when the matrix A acts on the eigenvector x, it only scales the vector by the factor λ without changing its direction (unless λ is negative, which reverses the direction). Eigenvectors and eigenvalues are fundamental in understanding linear transformations, stability analysis, principal component analysis, and many other applications in mathematics and engineering."
"For a diagonal matrix, where are the eigenvalues located?","The diagonal entries","The row sums","Always zero","The off-diagonal entries","A","In a diagonal matrix, the eigenvalues are simply the entries on the main diagonal. This is because when you apply the matrix to a standard basis vector, it gets scaled by the corresponding diagonal entry. Diagonal matrices are particularly simple to work with because their eigenvalues are immediately visible, and the standard basis vectors serve as eigenvectors. This property makes diagonal matrices computationally efficient and theoretically important in linear algebra."
"What does the rank of a matrix represent?","Number of non-zero rows","Number of columns","Determinant value","Maximum eigenvalue","A","The rank of a matrix is the number of linearly independent rows or columns in the matrix, which determines the dimension of the column space (or row space). Rank provides crucial information about the matrix: it tells us the dimension of the space spanned by the matrix's columns, the number of free variables in associated linear systems, and whether the matrix has full rank. Understanding rank is essential for solving linear systems and analyzing linear transformations."
"What property do orthogonal matrices satisfy?","AᵀA = I","A² = I","A = A⁻¹","det(A) = 0","A","Orthogonal matrices satisfy AᵀA = I, where Aᵀ is the transpose of A and I is the identity matrix. This means that the columns (and rows) of an orthogonal matrix form an orthonormal set of vectors. For orthogonal matrices, the transpose equals the inverse: A⁻¹ = Aᵀ. These matrices preserve lengths and angles under transformation, making them important in rotations, reflections, and other isometric transformations in geometry and computer graphics."
"What is the trace of a matrix?","Sum of diagonal elements","Determinant","Product of eigenvalues","Sum of all elements","A","The trace of a square matrix is the sum of the elements on the main diagonal: tr(A) = a₁₁ + a₂₂ + ... + aₙₙ. The trace has important properties: it equals the sum of the eigenvalues, it's invariant under similarity transformations, and it's linear (tr(A + B) = tr(A) + tr(B)). The trace is used in various applications including calculating the characteristic polynomial, analyzing linear transformations, and in advanced topics like matrix calculus."
"What is the derivative of the linear function f(x) = 3x + 2?","2","3","3x","5","B","The derivative of a linear function f(x) = mx + c is simply the slope m. For f(x) = 3x + 2, the coefficient of x is 3, so f'(x) = 3. This represents the constant rate of change of the function - for every unit increase in x, the function increases by 3 units. Linear functions have constant derivatives, which geometrically represents the constant slope of the straight line. This is one of the most fundamental derivatives in calculus."
"What does the power rule state for differentiation?","d/dx(xⁿ) = n xⁿ⁻¹","d/dx(xⁿ) = xⁿ","d/dx(xⁿ) = n! x","d/dx(xⁿ) = xⁿ⁺¹","A","The power rule is one of the most fundamental rules in calculus: the derivative of xⁿ is n·xⁿ⁻¹, where n can be any real number. This rule applies to all powers of x, including negative and fractional exponents. For example, d/dx(x³) = 3x², d/dx(x⁻¹) = -x⁻², and d/dx(√x) = ½x⁻½. The power rule is the foundation for differentiating polynomial functions and is combined with other rules to handle more complex functions."
"What is the derivative of sin(x)?","cos(x)","-cos(x)","-sin(x)","tan(x)","A","The derivative of sin(x) is cos(x). This relationship shows how the rate of change of the sine function corresponds to the cosine function. Geometrically, this means that the slope of the sine curve at any point equals the value of the cosine at that point. This is one of the fundamental trigonometric derivatives and is essential in calculus, physics (especially wave mechanics and oscillations), and engineering applications involving periodic phenomena."
"For the exponential function f(x) = eˣ, what is special about its derivatives?","All derivatives equal eˣ","nth derivative equals n! eˣ","All derivatives equal 0","Derivatives alternate in sign","A","The exponential function eˣ has the unique property that all of its derivatives are equal to itself: d/dx(eˣ) = eˣ, d²/dx²(eˣ) = eˣ, and so on. This makes eˣ the solution to the differential equation dy/dx = y, which appears frequently in natural phenomena like population growth, radioactive decay, and compound interest. This self-replicating property under differentiation makes the exponential function incredibly important in mathematics, physics, and engineering."
"When is the chain rule used in differentiation?","For sums of functions","For composite functions","For products of functions","For quotients of functions","B","The chain rule is used to differentiate composite functions - functions of the form f(g(x)) where one function is nested inside another. The rule states that d/dx[f(g(x))] = f'(g(x))·g'(x). This means you differentiate the outer function (keeping the inner function unchanged), then multiply by the derivative of the inner function. The chain rule is essential for differentiating complex expressions and appears in most advanced calculus problems involving nested functions."
"What is the derivative of ln(x)?","1/x","x","eˣ","1/eˣ","A","The derivative of the natural logarithm ln(x) is 1/x. This fundamental result shows that the logarithmic function has a derivative that decreases as x increases, which explains the characteristic shape of the logarithmic curve. This derivative is crucial in calculus and appears frequently in integration (as the antiderivative of 1/x), in solving differential equations, and in many applications involving exponential growth and decay processes."
"What is the transpose of the matrix [[1,2],[3,4]]?","[[1,3],[2,4]]","[[2,1],[4,3]]","[[4,3],[2,1]]","[[3,1],[4,2]]","A","The transpose of a matrix is obtained by swapping rows and columns. The element in row i, column j of the original matrix becomes the element in row j, column i of the transpose. So the first row [1,2] becomes the first column [1,3], and the second row [3,4] becomes the second column [2,4]. Matrix transpose is used extensively in linear algebra and optimization problems."
"What is the trace of the matrix [[5,2],[-1,3]]?","8","15","17","6","A","The trace of a matrix is the sum of the elements on the main diagonal. For the matrix [[5,2],[-1,3]], the diagonal elements are 5 and 3, so the trace is 5 + 3 = 8. The trace has important properties: it equals the sum of eigenvalues, is invariant under similarity transformations, and appears in many matrix calculations and theoretical results in linear algebra."
"If A and B are invertible matrices, what is (AB)⁻¹?","A⁻¹B⁻¹","B⁻¹A⁻¹","AB","(A⁻¹)(B⁻¹)","B","The inverse of a product of matrices follows the reverse order rule: (AB)⁻¹ = B⁻¹A⁻¹. This can be verified by checking that (AB)(B⁻¹A⁻¹) = A(BB⁻¹)A⁻¹ = AIA⁻¹ = AA⁻¹ = I. This property is crucial in solving systems of equations and understanding how transformations compose and decompose. The order reversal is a fundamental property that appears throughout linear algebra."
"What is the rank of the matrix [[1,2],[2,4]]?","1","2","0","3","A","The rank of a matrix is the number of linearly independent rows or columns. In this matrix, the second row [2,4] is exactly twice the first row [1,2], making them linearly dependent. Therefore, there is only one linearly independent row, giving the matrix rank 1. Rank determines the dimension of the column space and is crucial for understanding the solvability of linear systems and the invertibility of matrices."
"What is the primary use of Gaussian elimination?","Find eigenvalues","Solve linear systems","Compute dot products","Calculate determinants","B","Gaussian elimination is a systematic method for solving systems of linear equations by transforming the augmented matrix to row-echelon form through elementary row operations. It reduces the system to a triangular form that can be solved by back-substitution. This algorithm is fundamental in linear algebra and forms the basis for many computational methods in engineering and scientific computing applications."
"The null space of a matrix A consists of all solutions to which equation?","Ax = b","Ax = 0","x^T A = 0","A^T x = 0","B","The null space (or kernel) of a matrix A is the set of all vectors x that satisfy Ax = 0. These vectors are 'nullified' by the transformation represented by A, meaning they get mapped to the zero vector. The null space is a subspace whose dimension equals the number of free variables in the system, and it's complementary to the column space in understanding the complete behavior of linear transformations."
"What is the determinant of the diagonal matrix [[3,0],[0,-2]]?","-6","6","5","1","A","For diagonal matrices, the determinant is simply the product of the diagonal entries. Here, det([[3,0],[0,-2]]) = 3 × (-2) = -6. This property makes diagonal matrices particularly easy to work with. The determinant tells us about the scaling factor of the linear transformation and whether the matrix is invertible (non-zero determinant means invertible). The negative value indicates that the transformation reverses orientation."
"A matrix with determinant zero is called:","Orthogonal","Singular","Symmetric","Diagonal","B","A matrix with determinant zero is called singular, meaning it has no inverse and its columns (or rows) are linearly dependent. Singular matrices represent transformations that collapse space in some direction, reducing dimensionality. They cannot be used to solve unique solutions to linear systems Ax = b, and understanding singularity is crucial for analyzing the stability and solvability of linear problems in engineering and science."
"What is the inverse of the matrix [[1,1],[0,1]]?","[[1,-1],[0,1]]","[[1,0],[1,1]]","[[0,1],[1,0]]","[[1,1],[0,1]]","A","To find the inverse, we can use the formula A⁻¹ = (1/det(A)) × adj(A), or verify by checking that AA⁻¹ = I. For [[1,1],[0,1]], multiplying by [[1,-1],[0,1]] gives [[1×1+1×0, 1×(-1)+1×1],[0×1+1×0, 0×(-1)+1×1]] = [[1,0],[0,1]] = I. The inverse operation is fundamental for solving matrix equations and understanding reversible linear transformations."
"For a 3×3 matrix, what does the determinant represent geometrically?","Sum of eigenvalues","Volume of parallelepiped spanned by columns","Number of non-zero rows","Trace of the matrix","B","In 3D space, the determinant of a 3×3 matrix represents the signed volume of the parallelepiped formed by the three column vectors. If the determinant is positive, the vectors form a right-handed coordinate system; if negative, left-handed. The absolute value gives the actual volume. This geometric interpretation extends the 2D concept where determinant represents area, and helps understand how linear transformations scale space in higher dimensions."
"If |A| = 4 and |B| = 3, what is |AB|?","7","12","1","0","B","The determinant of a product equals the product of determinants: |AB| = |A| × |B|. This fundamental property means that |AB| = 4 × 3 = 12. This multiplicative property is crucial for understanding how compositions of linear transformations affect scaling factors and volumes. It also explains why the determinant of an inverse matrix is the reciprocal of the original determinant: |A⁻¹| = 1/|A|."
"Cramer's Rule uses determinants to:","Find matrix inverses","Solve linear systems","Compute eigenvalues","Calculate traces","B","Cramer's Rule provides an explicit formula for solving linear systems Ax = b using determinants. For each variable xᵢ, the solution is xᵢ = |Aᵢ|/|A|, where Aᵢ is A with the i-th column replaced by b. While computationally expensive for large systems, it's theoretically important and useful for systems with parameters, providing insight into how solutions depend on coefficients and offering exact symbolic solutions."
"The adjugate matrix is used to compute:","Eigenvectors","The inverse","The rank","The trace","B","The adjugate (or adjoint) matrix is used in the formula for matrix inversion: A⁻¹ = adj(A)/|A|. The adjugate is the transpose of the cofactor matrix, where each element is the determinant of the appropriate minor with alternating signs. While not the most efficient computational method for large matrices, this relationship is theoretically important and useful for symbolic calculations and understanding the structure of matrix inverses."
"A matrix A is invertible if and only if:","det(A) ≠ 0","A is symmetric","A is orthogonal","A is diagonal","A","A square matrix is invertible (non-singular) if and only if its determinant is non-zero. This is because the determinant measures whether the transformation represented by A is volume-preserving (and thus reversible). When det(A) = 0, the matrix maps some non-zero vectors to zero, making the transformation irreversible. This fundamental theorem connects determinants, invertibility, and the solvability of linear systems throughout mathematics and engineering."
"What are the eigenvalues of the diagonal matrix [[2,0],[0,3]]?","2 and 3","1 and 6","0 and 5","5 and 1","A","For diagonal matrices, the eigenvalues are simply the entries on the main diagonal. This is because the standard basis vectors are eigenvectors: [[2,0],[0,3]] × [1,0] = 2×[1,0] and [[2,0],[0,3]] × [0,1] = 3×[0,1]. Diagonal matrices are the simplest case of eigenvalue problems and represent the 'goal' of diagonalization, where complex matrices are transformed into this simple form for easier analysis."
"Eigenvectors corresponding to distinct eigenvalues are:","Orthogonal","Linearly dependent","Parallel","Identical","A","For symmetric matrices, eigenvectors corresponding to distinct eigenvalues are orthogonal. More generally, eigenvectors corresponding to distinct eigenvalues are always linearly independent. This property is fundamental in diagonalization and spectral theory. The orthogonality property for symmetric matrices makes them particularly nice to work with and leads to the spectral theorem, which has important applications in principal component analysis and quantum mechanics."
"The characteristic equation of matrix A is:","det(A - λI) = 0","Ax = b","A^T = A","A + λI = 0","A","The characteristic equation det(A - λI) = 0 is solved to find eigenvalues λ. This polynomial equation of degree n (for n×n matrix) has roots that are the eigenvalues. The characteristic polynomial encodes important information about the matrix, including trace (sum of roots) and determinant (product of roots). Solving this equation is the first step in eigenvalue analysis for understanding system dynamics and stability."
"If A has eigenvalues 1 and -1, what are the eigenvalues of A²?","1 and -1","1 and 1","0 and 2","2 and 0","B","If A has eigenvalues λ, then A² has eigenvalues λ². For eigenvalues 1 and -1, we get 1² = 1 and (-1)² = 1. This follows from the fact that if Ax = λx, then A²x = A(λx) = λ(Ax) = λ²x. This property extends to any power: Aⁿ has eigenvalues λⁿ, which is crucial for understanding the long-term behavior of iterative processes and matrix powers in dynamical systems."
"A Markov matrix has eigenvalues that satisfy:","|λ| ≤ 1","λ ≥ 0","λ = 1","λ = 0","A","Markov matrices (stochastic matrices with non-negative entries and row sums equal to 1) have all eigenvalues satisfying |λ| ≤ 1, with at least one eigenvalue equal to 1. This property ensures that the system represented by the matrix eventually reaches a steady state and doesn't exhibit explosive behavior. The largest eigenvalue of 1 corresponds to the steady-state distribution in probability applications like PageRank algorithms."
"Diagonalization expresses matrix A as:","A = PDP⁻¹","A = P^T D P","A = P + D","A = D - P","A","Diagonalization writes A = PDP⁻¹, where D is diagonal containing eigenvalues and P has corresponding eigenvectors as columns. This representation reveals the 'true nature' of the linear transformation by showing it as simple scaling along eigenvector directions. Diagonalization is possible when A has n linearly independent eigenvectors and is crucial for computing matrix powers, solving differential equations, and understanding system dynamics efficiently."
"A matrix is diagonalizable if it has:","n linearly independent eigenvectors","n orthogonal rows","determinant 1","symmetric structure","A","A square n×n matrix is diagonalizable if and only if it has n linearly independent eigenvectors. This ensures that the matrix P in A = PDP⁻¹ is invertible. Not all matrices are diagonalizable (e.g., some have repeated eigenvalues with geometric multiplicity less than algebraic multiplicity), but when possible, diagonalization greatly simplifies matrix analysis and computation in applications ranging from engineering to data science."
"The spectral theorem applies to:","Symmetric matrices","Singular matrices","Non-square matrices","All matrices","A","The spectral theorem states that symmetric matrices can be diagonalized by orthogonal matrices: A = QDQ^T where Q has orthonormal columns. This is stronger than general diagonalization because the eigenvectors are orthogonal, making the decomposition particularly stable and meaningful. The spectral theorem is fundamental in optimization, principal component analysis, and understanding quadratic forms in machine learning and statistics."
"For the matrix A = [[0,1],[1,0]], what are the eigenvectors?","[1,1] and [1,-1]","[0,1] and [1,0]","[2,1] and [1,2]","[1,0] and [0,1]","A","To find eigenvectors, solve (A - λI)x = 0 for each eigenvalue. For this matrix, eigenvalues are λ = 1 and λ = -1. For λ = 1: [[-1,1],[1,-1]]x = 0 gives eigenvector [1,1]. For λ = -1: [[1,1],[1,1]]x = 0 gives eigenvector [1,-1]. These represent the directions that are preserved (up to scaling) under the transformation, which geometrically is a reflection about the line y = x."
"The largest eigenvalue in absolute value is called the:","Spectral radius","Trace","Rank","Norm","A","The spectral radius ρ(A) is the largest absolute value among all eigenvalues of A. It's crucial for understanding the long-term behavior of iterative processes and the convergence of matrix powers. For example, if ρ(A) < 1, then A^n → 0 as n → ∞. The spectral radius determines stability in dynamical systems and convergence rates in numerical methods, making it essential for analyzing system behavior in control theory and numerical analysis."
"In robotics, eigenvalues are used to analyze:","Stability of control systems","Joint angles","Sensor noise","Motor speeds","A","Eigenvalues of the Jacobian matrix in robotics determine the stability and behavior of control systems. Near equilibrium points, the system's linearization has behavior determined by eigenvalues: negative real parts indicate stability, positive parts indicate instability, and complex parts indicate oscillatory behavior. This analysis is crucial for designing stable robot controllers and understanding workspace singularities where the robot loses degrees of freedom, affecting manipulation capabilities."
"A car's speed is modeled by v(t) = 3t² - 4t + 5 (m/s). What is its acceleration at t = 2 seconds?","8 m/s²","10 m/s²","12 m/s²","6 m/s²","A","Acceleration is the derivative of velocity: a(t) = v'(t) = 6t - 4. At t = 2, a(2) = 6(2) - 4 = 8 m/s². This represents how quickly the speed is changing at that specific moment. The calculation involves applying the power rule to each term of the velocity function, then substituting the given time value."
"The function f(x) = x³ - 6x² + 9x has critical points at:","x = 1 and x = 3","x = 0 and x = 2","x = -1 and x = 1","x = 2 and x = 4","A","Critical points occur where f'(x) = 0. Taking the derivative: f'(x) = 3x² - 12x + 9. Setting equal to zero and factoring: 3(x² - 4x + 3) = 3(x-1)(x-3) = 0. This gives x = 1 and x = 3. These points are candidates for local maxima, minima, or inflection points, requiring further analysis to classify."
"Using the limit definition, find the derivative of f(x) = √x at x = 4.","1/4","1/(2√2)","1/(4√2)","2","A","Using f'(4) = lim[h→0] (√(4+h) - 2)/h, we rationalize the numerator by multiplying by (√(4+h) + 2)/(√(4+h) + 2). This gives lim[h→0] h/[h(√(4+h) + 2)] = lim[h→0] 1/(√(4+h) + 2) = 1/(2+2) = 1/4. This demonstrates the fundamental limit process that defines derivatives."
"For f(x) = ln(3x² + 1), what is f'(1)?","3/2","6/4","1/3","3","A","Using the chain rule: f'(x) = 1/(3x² + 1) · d/dx(3x² + 1) = 6x/(3x² + 1). At x = 1: f'(1) = 6(1)/(3(1)² + 1) = 6/4 = 3/2. The chain rule is essential here because we have a composition of the natural logarithm function with a quadratic polynomial."
"The linear approximation of f(x) = e^(2x) near x = 0 is:","1 + 2x","2x","e^(2x)","1 + x","A","Linear approximation uses L(x) = f(0) + f'(0)x. For f(x) = e^(2x): f(0) = e^0 = 1 and f'(x) = 2e^(2x), so f'(0) = 2. Therefore L(x) = 1 + 2x. This tangent line approximation is useful for estimating function values near x = 0 and is the first-order Taylor polynomial."
"The inflection point of f(x) = x³ - 3x² occurs at:","x = 1","x = 2","x = 0","x = 3","A","Inflection points occur where f''(x) = 0 and the concavity changes. For f(x) = x³ - 3x², f'(x) = 3x² - 6x, and f''(x) = 6x - 6. Setting f''(x) = 0: 6x - 6 = 0, so x = 1. We can verify that concavity changes at this point by checking the sign of f''(x) on either side of x = 1."
"The derivative of f(x) = sin(x)/x is:","(x cos(x) - sin(x))/x²","cos(x)/x","(sin(x) - x cos(x))/x²","sin(x)/x²","A","Using the quotient rule: if f(x) = u(x)/v(x), then f'(x) = (u'v - uv')/v². Here u = sin(x), u' = cos(x), v = x, v' = 1. Therefore f'(x) = (x cos(x) - sin(x))/x². The quotient rule is essential when differentiating ratios of functions, and this particular function appears frequently in physics and engineering applications."
"The average rate of change of f(x) = x² on [1, 3] is:","4","3","2","5","A","The average rate of change over an interval [a,b] is [f(b) - f(a)]/(b - a). For f(x) = x² on [1,3]: f(3) = 9, f(1) = 1, so the average rate = (9 - 1)/(3 - 1) = 8/2 = 4. This represents the slope of the secant line connecting the points (1,1) and (3,9) on the graph."
"The function f(x) = x⁴ - 4x³ has a local minimum at:","x = 3","x = 0","x = 1","x = 4","A","To find local extrema, find critical points where f'(x) = 0: f'(x) = 4x³ - 12x² = 4x²(x - 3) = 0. This gives x = 0 and x = 3. Using the second derivative test: f''(x) = 12x² - 24x. At x = 3: f''(3) = 12(9) - 24(3) = 108 - 72 = 36 > 0, confirming a local minimum. At x = 0: f''(0) = 0, requiring further analysis."
"The Taylor series expansion of f(x) = cos(x) about x = 0 up to x² is:","1 - x²/2","1 + x - x²/2","1 - x²","1 + x²/2","A","The Taylor series for cos(x) about x = 0 is: cos(x) = 1 - x²/2! + x⁴/4! - ... The first three terms are: 1 - x²/2 + 0·x (since the derivative of cos(x) at x = 0 gives: f(0) = 1, f'(0) = 0, f''(0) = -1). This series provides excellent approximations for small values of x and is fundamental in mathematical analysis."
"For f(x,y) = x²y + sin(y), what is ∂²f/∂x∂y?","2x","2x + cos(y)","2xy","sin(y)","A","To find the mixed partial derivative, first find ∂f/∂y = x² + cos(y), then differentiate with respect to x: ∂²f/∂x∂y = ∂/∂x(x² + cos(y)) = 2x. The cosine term disappears because cos(y) is constant with respect to x. Mixed partial derivatives measure how the rate of change in one direction varies as we move in another direction."
"The directional derivative of f(x,y) = xy at (1,2) in direction v = (1,1) is:","3/√2","3","√2","3√2","A","The directional derivative is ∇f · (v/|v|). First, ∇f = (∂f/∂x, ∂f/∂y) = (y, x) = (2, 1) at point (1,2). The unit vector in direction (1,1) is (1,1)/√2. Therefore: (2,1) · (1,1)/√2 = (2+1)/√2 = 3/√2. This measures the rate of change of f in the specified direction."
"The Jacobian determinant of transformation (x,y) → (u,v) = (x+y, x-y) is:","-2","2","0","1","A","The Jacobian matrix is J = [[∂u/∂x, ∂u/∂y], [∂v/∂x, ∂v/∂y]] = [[1,1], [1,-1]]. The determinant is |J| = (1)(-1) - (1)(1) = -1 - 1 = -2. This value represents the area scaling factor when transforming from (x,y) coordinates to (u,v) coordinates, with the negative sign indicating orientation reversal."
"The gradient of f(x,y,z) = xyz at (1,1,1) is:","(1,1,1)","(0,0,0)","(3,3,3)","(xyz, xyz, xyz)","A","The gradient ∇f = (∂f/∂x, ∂f/∂y, ∂f/∂z) = (yz, xz, xy). At the point (1,1,1): ∇f = (1·1, 1·1, 1·1) = (1,1,1). The gradient points in the direction of steepest increase of the function and its components give the rates of change along each coordinate direction."
"The Lagrange multiplier method is used to:","Optimize a function subject to constraints","Solve differential equations","Find eigenvalues","Integrate functions","A","Lagrange multipliers provide a method for finding extrema of a function f(x,y) subject to constraint g(x,y) = c. The method finds points where ∇f = λ∇g, where λ is the Lagrange multiplier. This technique is essential in optimization problems where we need to find maximum or minimum values while satisfying certain constraints, commonly used in economics, engineering, and physics."
"A fair coin is flipped 3 times. The probability of getting exactly 2 heads is:","3/8","1/2","5/8","1/4","A","This is a binomial probability problem: P(X = 2) = C(3,2) × (1/2)² × (1/2)¹ = 3 × (1/4) × (1/2) = 3/8. There are C(3,2) = 3 ways to choose which 2 flips are heads: HHT, HTH, THH. Each specific sequence has probability (1/2)³ = 1/8, so the total probability is 3 × 1/8 = 3/8."
"If P(A) = 0.3, P(B) = 0.4, and A and B are independent, what is P(A ∪ B)?","0.58","0.7","0.12","0.30","A","For independent events: P(A ∪ B) = P(A) + P(B) - P(A ∩ B) = P(A) + P(B) - P(A)P(B) = 0.3 + 0.4 - (0.3)(0.4) = 0.7 - 0.12 = 0.58. Independence means P(A ∩ B) = P(A)P(B), which we subtract to avoid double-counting the intersection when adding the individual probabilities."
"The probability density function (PDF) of a continuous random variable satisfies:","∫_{-∞}^{∞} f(x) dx = 1","f(x) ≤ 1 for all x","f(x) is always non-negative and can be > 1","f(x) > 0 everywhere","A","A probability density function must integrate to 1 over its entire domain: ∫_{-∞}^{∞} f(x) dx = 1. This ensures that the total probability equals 1. While f(x) ≥ 0 everywhere, it can exceed 1 for some values of x, as long as the total area under the curve equals 1. This is a fundamental requirement for any valid PDF."
"In a standard normal distribution, P(Z ≤ 1.96) is approximately:","0.975","0.95","0.99","0.90","A","From standard normal tables, P(Z ≤ 1.96) ≈ 0.975. This is a critical value in statistics: it means that 97.5% of the area under the standard normal curve lies to the left of z = 1.96. This value is frequently used in confidence intervals and hypothesis testing, particularly for 95% confidence intervals where we use ±1.96."
