question,option_a,option_b,option_c,option_d,correct_answer,explanation
"What happens when holonomic constraints are present in a mechanical system?","Energy is not conserved","The system becomes underactuated","Degrees of freedom are reduced","Control becomes impossible","C","Holonomic constraints reduce the number of degrees of freedom by imposing geometric relationships between coordinates. These constraints can be integrated and eliminate some coordinates, effectively reducing the system's configuration space dimension while maintaining the constraint relationships."
"For the acrobot system, which joint is actuated?","Shoulder joint","Elbow joint","Both joints","Neither joint","B","The acrobot has actuation only at the elbow joint, with no actuation at the shoulder. This makes it a classic underactuated system where the controller must use the coupling between joints to control both the shoulder and elbow angles using only the elbow torque."
"What is the key challenge in controlling underactuated systems?","High computational cost","Exploiting coupling between actuated and unactuated degrees of freedom","Sensor noise","Actuator saturation","B","The key challenge is exploiting the state-dependent coupling between actuated and unactuated degrees of freedom. Controllers must reason about how motions in actuated directions can influence unactuated directions through the system's natural dynamics and constraints."
"In the pendulum phase portrait, what do the closed orbits represent?","Stable equilibria","Oscillatory motion around the stable equilibrium","Unstable behavior","Control inputs","B","Closed orbits in the pendulum phase portrait represent periodic oscillatory motion around the stable downward equilibrium. Each closed curve corresponds to a different energy level, with the pendulum swinging back and forth with that specific total energy."
"What characterizes the homoclinic orbit in the pendulum phase portrait?","Circular motion","Trajectory connecting unstable equilibrium to itself","Straight line motion","Stable oscillations","B","The homoclinic orbit is a trajectory that starts at the unstable upright equilibrium, makes a complete rotation, and returns to the same unstable equilibrium. It represents the separatrix between bounded oscillatory motion and unbounded rotational motion."
"For a quadrotor in 2D, how many degrees of freedom and control inputs are there?","2 DOF, 2 inputs","3 DOF, 2 inputs","3 DOF, 3 inputs","2 DOF, 3 inputs","B","A 2D quadrotor has 3 degrees of freedom (x, y, θ) representing position and orientation, but only 2 control inputs (thrust from two rotors). This makes it underactuated since it cannot independently control all three degrees of freedom simultaneously."
"What does 'exploiting natural dynamics' mean in underactuated robotics?","Using expensive sensors","Working with the system's inherent physics rather than fighting it","Applying maximum control effort","Ignoring system constraints","B","Exploiting natural dynamics means designing controllers that work with the system's inherent physics, using natural motions like swinging, ballistic trajectories, or passive stability. This approach often leads to more efficient, elegant motions compared to aggressive trajectory tracking."
"In the manipulator equation M(q)q̈ + C(q,q̇)q̇ + G(q) = τ, what does G(q) represent?","Gyroscopic forces","Gravitational forces and torques","Gear ratios","Ground reaction forces","B","G(q) represents the gravitational forces and torques acting on the system as a function of configuration q. These terms arise from potential energy and must be compensated or exploited depending on the control strategy."
"What is the significance of the Coriolis matrix C(q,q̇) in robot dynamics?","It represents external disturbances","It captures velocity-dependent forces including centrifugal and Coriolis effects","It models friction","It represents sensor noise","B","The Coriolis matrix C(q,q̇) captures velocity-dependent forces that arise from the motion of the robot, including centrifugal and Coriolis effects. These forces depend on both the configuration and velocities and are crucial for accurate dynamic modeling."
"Why is the small-angle approximation sin(θ) ≈ θ used in some control designs?","It's more accurate","It linearizes the system for easier analysis","It reduces computational cost","It eliminates the need for feedback","B","The small-angle approximation linearizes the pendulum equation, making it easier to analyze and design controllers using linear control theory. While less accurate for large angles, it provides valuable insights and serves as a starting point for more sophisticated nonlinear designs."
"What is the main disadvantage of feedback linearization?","High computational cost","Sensitivity to parameter uncertainties and modeling errors","Requires many sensors","Only works for linear systems","B","Feedback linearization is highly sensitive to parameter uncertainties and modeling errors because it relies on exact cancellation of nonlinearities. Small errors in the model can lead to incomplete cancellation, resulting in poor performance or even instability."
"In robotics, what does DOF stand for?","Direction of Force","Degrees of Freedom","Dynamic Output Function","Digital Optical Filter","B","DOF stands for Degrees of Freedom, which represents the number of independent parameters needed to specify the configuration of a system. For robots, it typically refers to the number of independent joint motions possible."
"What is the workspace of a robot manipulator?","The physical space occupied by the robot","The set of all points reachable by the end-effector","The control software environment","The power consumption range","B","The workspace is the set of all points in space that can be reached by the robot's end-effector. It's determined by the robot's kinematic structure, joint limits, and link lengths, and is crucial for task planning and robot selection."
"What is the primary purpose of inverse kinematics in robotics?","Calculate joint torques","Find joint angles to achieve desired end-effector position","Estimate sensor noise","Optimize energy consumption","B","Inverse kinematics solves for the joint angles required to position the robot's end-effector at a desired location and orientation. This is fundamental for robot motion planning and control, converting Cartesian space commands to joint space commands."
"What makes walking robots typically underactuated?","They use electric motors","They have fewer actuators than degrees of freedom","They move slowly","They require complex sensors","B","Walking robots are typically underactuated because they have fewer actuators than the total degrees of freedom of the system including the floating base. The robot cannot directly control its position in space but must use ground contact forces and internal joint motions to achieve desired motions."
"What is the primary reason numerical methods are necessary for solving most ODEs in robotics?","Computational efficiency","Most robotic systems have nonlinear dynamics with no analytical solutions","Sensor limitations","Memory constraints","B","Most robotic systems are governed by nonlinear differential equations that cannot be solved analytically in closed form. Numerical methods provide the only practical way to simulate and analyze these complex dynamical systems for control design and performance evaluation."
"What does the step size h represent in numerical integration methods?","Final time value","Time increment between successive approximation points","Initial condition","System parameter","B","The step size h is the time increment between successive approximation points in numerical integration. It determines the temporal resolution of the simulation and directly affects both accuracy and computational cost of the numerical solution."
"In Euler's explicit method xi+1 = xi + f(xi)h, what assumption is made about the slope?","Slope increases linearly","Slope remains constant over interval h","Slope decreases exponentially","Slope is zero","B","Euler's method assumes the slope f(xi) remains constant over the entire step interval h. This linear extrapolation introduces truncation error because the actual slope typically varies over the interval, making the method first-order accurate."
"What is the local truncation error order for Euler's explicit method?","O(h)","O(h²)","O(h³)","O(h⁴)","B","Euler's explicit method has local truncation error O(h²), derived from Taylor series expansion where terms of order h² and higher are discarded. However, the global accumulated error over many steps is O(h), making it a first-order method overall."
"Why do implicit methods generally have better stability properties?","They use smaller step sizes","The unknown appears on both sides of the equation","They require more memory","They use higher-order approximations","B","Implicit methods have better stability because the unknown xi+1 appears on both sides of the equation, creating a relationship that naturally damps numerical instabilities. This often allows larger stable step sizes compared to explicit methods, especially for stiff systems."
"What iterative method is commonly used to solve the implicit equations in numerical ODE solving?","Bisection method","Newton's method","Golden section search","Gradient descent","B","Newton's method is commonly used because it provides quadratic convergence near the solution. For the equation g(y) = 0, it uses yk+1 = yk - g(yk)/g'(yk), making it efficient for solving the nonlinear equations that arise in implicit methods."
"What characterizes a 'stiff' differential equation?","Large derivatives everywhere","Components evolving on vastly different time scales","Multiple equilibrium points","Complex boundary conditions","B","Stiff equations have solution components that evolve on vastly different time scales - some change rapidly while others change slowly. This forces explicit methods to use extremely small step sizes to maintain stability, even when the overall solution changes slowly."
"How many slope evaluations does the fourth-order Runge-Kutta method require per step?","2","3","4","5","C","RK4 requires four slope evaluations: k₁ at the beginning, k₂ and k₃ at the midpoint (with different estimates), and k₄ at the endpoint. These are combined with weights (1,2,2,1)/6 to achieve fourth-order accuracy."
"What is the local truncation error for RK4?","O(h³)","O(h⁴)","O(h⁵)","O(h⁶)","C","RK4 has local truncation error O(h⁵), making it extremely accurate for reasonable step sizes. The global error is O(h⁴), which is why it's called a fourth-order method. This high accuracy makes RK4 popular for general-purpose ODE solving."
"In RK4, what is k₂?","hf(ti, xi)","hf(ti + h/2, xi + k₁/2)","hf(ti + h, xi + k₁)","hf(ti + h/2, xi + k₂/2)","B","k₂ = hf(ti + h/2, xi + k₁/2) evaluates the slope at the midpoint using k₁ to estimate the midpoint value. This midpoint evaluation captures important behavior within the step interval, contributing significantly to RK4's accuracy."
"Why do k₂ and k₃ receive double weight in the RK4 formula?","They are computed last","Midpoint information is more representative of interval behavior","They require more computation","They have higher accuracy","B","Midpoint information generally provides a better representation of the function's average behavior over an interval than endpoint information. The weights (1,2,2,1) are derived to match the Taylor series to fourth order, with midpoint values receiving double weight for optimal accuracy."
"What is the main advantage of Runge-Kutta methods over Taylor series methods?","Always more accurate","Don't require computing higher-order derivatives","Faster computation","Use less memory","B","RK methods achieve high-order accuracy without computing higher-order derivatives of f(x,y). They use multiple function evaluations at strategic points instead, making them practical when derivatives are difficult or expensive to compute analytically."
"For second-order ODEs, how are they typically handled by numerical methods?","Solve directly","Convert to system of first-order ODEs","Use integration by parts","Apply Laplace transforms","B","Second-order ODEs are converted to systems of first-order ODEs by introducing state variables. For d²θ/dt² = f(θ, dθ/dt), define x₁ = θ and x₂ = dθ/dt, creating dx₁/dt = x₂ and dx₂/dt = f(x₁, x₂)."
"What does the state vector x represent in state-space form?","Initial conditions only","Complete system description at any time","External inputs","System parameters","B","The state vector x contains all information needed to completely describe the system at any time. Given the current state and system dynamics, the future behavior is completely determined. This completeness is fundamental to state-space representation."
"In the damped pendulum state-space form with x₁ = θ, x₂ = θ̇, what is dx₁/dt?","x₂","-(g/l)sin(x₁) - (b/l)x₂","-sin(x₁)","0","A","dx₁/dt = x₂ because x₁ represents angle θ and x₂ represents angular velocity θ̇. By definition of state variables, the rate of change of position equals velocity."
"What is the fundamental trade-off in step size selection?","Speed vs. memory","Accuracy vs. computational cost","Stability vs. complexity","Precision vs. storage","B","Smaller step sizes provide better accuracy but require more computational steps to cover the same time interval. Larger step sizes reduce computational cost but may introduce significant errors or instability. The optimal choice balances accuracy requirements with computational resources."
"When step size is halved in a second-order method, how does the error change?","Remains constant","Reduces by factor of 4","Reduces by factor of 2","Increases","B","For an n-th order method, error is proportional to hⁿ. When h is halved, error reduces by factor of 2ⁿ. For second-order methods, error reduces by factor of 4, though computational cost doubles due to more steps required."
"What makes a numerical method 'self-starting'?","No initial conditions needed","Only needs current point to compute next point","Automatically chooses parameters","Never accumulates errors","B","Self-starting methods like Runge-Kutta only need information from the current point to compute the next point. Unlike multistep methods requiring several previous points, they can begin immediately with just initial conditions."
"What is adaptive step size control?","Using optimal fixed step size","Dynamically adjusting step size based on error estimates","Manual step size adjustment","Random step size selection","B","Adaptive step size control automatically adjusts h during integration based on local error estimates. It increases h where solutions are smooth (for efficiency) and decreases h where rapid changes occur (for accuracy), optimizing the accuracy-cost balance."
"What are embedded Runge-Kutta methods useful for?","Simpler implementation","Provide error estimates for adaptive control","Always more accurate","Require fewer evaluations","B","Embedded RK methods compute solutions of two different orders using the same function evaluations, providing error estimates essentially for free. The difference between orders estimates local error, enabling automatic step size control without additional cost."
"What causes the 'stiffness' problem in differential equations?","Large coefficients","Widely separated time scales in the solution","Multiple variables","Nonlinear terms","B","Stiffness arises when the solution contains components evolving on vastly different time scales. Fast transients require small step sizes for stability in explicit methods, even when the overall solution behavior is dominated by slow dynamics."
"Why are implicit methods preferred for stiff equations?","Simpler to implement","Superior stability properties allowing larger step sizes","Always more accurate","Require fewer function evaluations","B","Implicit methods can maintain stability with much larger step sizes for stiff systems because the implicit formulation naturally damps numerical instabilities. This stability advantage often outweighs the computational cost of solving implicit equations."
"What is the stability region of a numerical method?","Region where solutions exist","Set of step sizes maintaining bounded solutions","Physical domain of problem","Range of initial conditions","B","The stability region defines the set of step sizes for which the numerical method produces bounded solutions. Methods with larger stability regions can use bigger step sizes while maintaining stability, which is crucial for efficient integration."
"In practice, what often limits the accuracy of numerical methods?","Step size only","Round-off errors and function evaluation accuracy","Number of iterations","Initial condition precision","B","Round-off errors from finite precision arithmetic and inaccuracies in function evaluations ultimately limit achievable accuracy. Making step sizes arbitrarily small doesn't improve accuracy indefinitely due to these fundamental limitations."
"What is the main computational advantage of explicit methods?","Higher accuracy","Direct calculation without iteration","Always stable","Require less memory","B","Explicit methods calculate the next value directly from known quantities without requiring iterative solution of equations. This makes them computationally straightforward, though they may have stability restrictions for stiff problems."
"What is the defining characteristic of the acrobot system?","Actuation at shoulder only","Actuation at elbow only","Actuation at both joints","No actuation","B","The acrobot has a single actuator at the elbow joint with no actuation at the shoulder. This underactuation forces the controller to exploit dynamic coupling between joints to control the entire system using only the elbow torque."
"In the cart-pole system, which component is directly actuated?","Pole angle","Cart position","Both cart and pole","Neither component","B","The cart-pole system has direct actuation of the cart's horizontal position through a force applied to the cart. The pole angle is unactuated and must be controlled indirectly through the cart's acceleration and resulting inertial forces."
"What is the primary control challenge for underactuated systems like the acrobot?","High computational cost","Exploiting coupling between actuated and unactuated degrees of freedom","Sensor limitations","Actuator saturation","B","The key challenge is understanding and exploiting the state-dependent coupling between actuated and unactuated degrees of freedom. Controllers must reason about how actions in actuated directions can influence unactuated directions through the system's natural dynamics."
"For the cart-pole system, what happens when the cart accelerates to the right?","Pole remains vertical","Pole tilts left due to inertial forces","Pole tilts right","Pole rotates freely","B","When the cart accelerates right, inertial forces cause the pole to tilt left relative to the cart. This coupling between cart acceleration and pole angle is the fundamental mechanism that allows control of the unactuated pole through cart motion."
"What is swing-up control in the context of underactuated systems?","Controlling pendulum oscillations","Bringing system from stable to unstable equilibrium","Reducing system energy","Stopping all motion","B","Swing-up control brings an underactuated pendulum-like system from its stable downward equilibrium to the unstable upward position. This requires building up energy and exploiting nonlinear dynamics since direct trajectory tracking is impossible."
"Why can't underactuated systems follow arbitrary trajectories?","Limited sensor feedback","Insufficient control authority in all directions","Computational limitations","Actuator bandwidth restrictions","B","Underactuated systems have fewer control inputs than degrees of freedom, meaning they cannot accelerate in arbitrary directions in their configuration space. This fundamental limitation prevents them from following arbitrary reference trajectories."
"What is the basin of attraction for a control system?","Physical space around robot","Set of initial conditions from which controller succeeds","Sensor detection range","Communication coverage area","B","The basin of attraction is the set of initial conditions from which a feedback controller can successfully drive the system to the desired state. For underactuated systems, this basin is typically much smaller than for fully-actuated systems."
"In energy-based control of the acrobot, what is the primary control objective during swing-up?","Minimize total energy","Pump energy into system to reach upright position","Conserve angular momentum","Maximize joint velocities","B","During swing-up, the controller pumps energy into the system by exploiting the natural pendulum dynamics. The goal is to build up sufficient energy to reach the unstable upright equilibrium where a stabilizing controller can take over."
"What is partial feedback linearization?","Linearizing part of the system dynamics","Using incomplete state information","Approximate linearization","Linearizing only the actuated dynamics","D","Partial feedback linearization linearizes only the actuated subsystem dynamics while leaving unactuated dynamics in their original nonlinear form. This approach is used when full feedback linearization is impossible due to underactuation."
"What is the zero dynamics of an underactuated system?","Dynamics with zero input","Internal dynamics when output is constrained to zero","Equilibrium behavior","Linearized dynamics","B","Zero dynamics represent the internal system behavior when the system output is constrained to identically zero through feedback control. For underactuated systems, the zero dynamics describe how unactuated states evolve when actuated states follow prescribed trajectories."
"What is colocation in the context of underactuated robotics?","Placing sensors and actuators together","Actuators and outputs at same location","Controllers running on same processor","Synchronized joint motion","B","Colocation refers to systems where actuators and controlled outputs are at the same location. Collocated systems generally have better controllability properties, while non-collocated systems (like the acrobot) are more challenging to control."
"What makes the Pendubot different from the Acrobot?","Number of links","Actuation at shoulder vs. elbow","Mass distribution","Control objectives","B","The Pendubot has actuation at the shoulder joint (first joint) while the acrobot has actuation at the elbow joint (second joint). This difference in actuator placement significantly affects the control challenges and strategies."
"What is the spinning-up maneuver in acrobot control?","Rapid rotation of both links","Building energy by pumping the actuated joint","Balancing at upright position","Damping oscillations","B","The spinning-up maneuver builds energy in the acrobot by rhythmically pumping the actuated elbow joint, similar to how a child pumps their legs on a swing. This energy buildup eventually allows the system to reach the upright configuration."
"What is meant by 'pumping' in underactuated pendulum control?","Increasing joint stiffness","Rhythmic energy injection through actuated joint","High-frequency control action","Velocity amplification","B","Pumping refers to rhythmically adding energy to the system by timing control actions to coincide with natural system motions. Like pumping a swing, energy is added by applying torques at the right phase of the motion cycle."
"Why is the cart-pole system considered a benchmark for underactuated control?","Simple dynamics","Captures essential challenges of underactuated systems","Easy to build","Low cost","B","The cart-pole captures the fundamental challenge of underactuated systems: using limited control authority to manage multiple degrees of freedom. It's complex enough to be challenging yet simple enough to analyze thoroughly, making it ideal for developing and testing control theories."
"What is the difference between local and global control objectives?","Spatial vs. temporal control","Small vs. large regions of operation","Linear vs. nonlinear methods","Single vs. multiple equilibria","B","Local control objectives (like balancing at upright position) require the system to start near the goal. Global objectives (like swing-up from any initial condition) must work from a large set of initial conditions, making them much more challenging."
"What is trajectory optimization for underactuated systems?","Finding smooth paths","Computing optimal state and control trajectories","Minimizing execution time","Reducing energy consumption","B","Trajectory optimization finds optimal state and control trajectories that satisfy system dynamics, constraints, and performance criteria. For underactuated systems, this is particularly challenging because the feasible trajectory space is restricted by underactuation constraints."
"What is the role of passivity in underactuated robot control?","Reducing power consumption","Exploiting natural system properties for stability","Increasing system bandwidth","Improving sensor accuracy","B","Passivity-based control exploits natural energy-dissipation properties of mechanical systems to achieve stability. Passive systems naturally dissipate energy, providing inherent stability properties that can be leveraged in controller design."
"What is impedance control in robotics?","Force feedback control","Controlling relationship between force and motion","Position control with stiffness","Velocity regulation","B","Impedance control regulates the dynamic relationship between forces and motions, allowing specification of desired mechanical impedance (mass-spring-damper) characteristics. This is particularly useful for interaction tasks and compliant manipulation."
"What is the concept of virtual constraints in underactuated robotics?","Imaginary physical barriers","Feedback-imposed relationships between system states","Software-defined limits","Simulation artifacts","B","Virtual constraints are feedback-imposed relationships between system states that create effective constraints without physical enforcement. They allow coordination of multiple degrees of freedom and can transform underactuated systems into fully-actuated ones on invariant manifolds."
"What is hybrid control in robotics?","Combining different control methods","Control systems with discrete and continuous dynamics","Hardware-software integration","Multi-robot coordination","B","Hybrid control deals with systems having both discrete (switching, contact) and continuous (smooth motion) dynamics. This is essential for walking robots, manipulation with contact, and other systems where discrete events affect continuous evolution."
"What is the significance of limit cycles in underactuated systems?","Unstable behavior","Periodic steady-state motions like walking gaits","System failures","Sensor noise","B","Limit cycles represent periodic steady-state motions that many underactuated systems naturally exhibit, such as walking gaits, flapping flight, or swimming motions. Designing controllers to create stable limit cycles is a key approach for rhythmic behaviors."
"What is meant by 'dynamic walking' in robotics?","Fast walking speeds","Walking that exploits natural dynamics for efficiency","Computer-controlled walking","Variable step lengths","B","Dynamic walking exploits the natural pendulum-like dynamics of legs and gravity to achieve efficient locomotion. Rather than fighting natural dynamics, these gaits work with them, often resulting in more energy-efficient walking than static approaches."
"What is the Zero Moment Point (ZMP) criterion in walking robots?","Center of mass location","Point where net moment is zero for balance","Foot contact point","Joint angle reference","B","The ZMP is the point on the ground where the net moment of all forces (gravity, inertia) is zero. Keeping the ZMP within the support polygon ensures dynamic balance, making it a fundamental criterion for stable walking robot control."
"What is compliance in robotic systems?","Following commands exactly","Mechanical flexibility allowing force-responsive motion","System reliability","Computational efficiency","B","Compliance refers to the system's ability to respond to external forces with appropriate motion, providing mechanical flexibility. This is crucial for safe interaction with environments and humans, allowing robots to adapt to unexpected contacts and forces."
"What is the manipulator equation form M(q)q̈ + C(q,q̇)q̇ + G(q) = τ commonly used for?","Linear systems only","Multi-link mechanical systems","Electrical circuits","Fluid systems","B","This form represents the dynamics of multi-link mechanical systems including robot manipulators. M(q) is the inertia matrix, C(q,q̇) captures Coriolis/centripetal effects, G(q) represents gravity, and τ are the applied torques or forces."
"What property makes the inertia matrix M(q) special in robotic systems?","Always diagonal","Symmetric and positive definite","Constant over time","Sparse structure","B","The inertia matrix M(q) is always symmetric (Mij = Mji) due to the physics of rotational inertia, and positive definite because kinetic energy T = ½q̇ᵀM(q)q̇ is always positive for non-zero velocities. This ensures the matrix is invertible."
"What is the significance of the Christoffel symbols in robot dynamics?","They represent external forces","They define the Coriolis/centripetal matrix C(q,q̇)","They determine joint limits","They specify actuator characteristics","B","Christoffel symbols arise from the differentiation of the kinetic energy expression and define the elements of the Coriolis/centripetal matrix C(q,q̇). They capture how kinetic energy changes with configuration and velocity."
"What is the skew-symmetry property in robot dynamics?","M(q) is skew-symmetric","Ṁ(q) - 2C(q,q̇) is skew-symmetric","G(q) is skew-symmetric","τ is skew-symmetric","B","The important property is that Ṁ(q) - 2C(q,q̇) is skew-symmetric, which is crucial for energy-based analysis and passivity-based control design. This property ensures energy conservation in the absence of external forces and dissipation."
"What is the concept of computed torque control?","Computing maximum torques","Feedback linearization using full dynamic model","Measuring joint torques","Estimating external torques","B","Computed torque control uses the full dynamic model to compute the torques needed to cancel the robot's natural dynamics and implement a desired linear behavior. It's equivalent to feedback linearization for robotic systems."
"What is workspace analysis in robotics?","Analyzing computational requirements","Determining reachable positions and orientations","Studying work-energy relationships","Evaluating workspace ergonomics","B","Workspace analysis determines the set of all positions and orientations reachable by the robot's end-effector. This includes both the reachable workspace (positions only) and the dexterous workspace (positions with full orientation capability)."
"What is a kinematic singularity in robotics?","Joint failure condition","Configuration where robot loses degrees of freedom","High-speed motion","Sensor malfunction","B","A kinematic singularity occurs when the robot loses one or more degrees of freedom due to specific joint configurations. At singularities, the Jacobian matrix becomes rank-deficient, causing loss of controllability in certain directions."
"What is the Denavit-Hartenberg (DH) convention used for?","Dynamic modeling","Systematic kinematic modeling of serial manipulators","Control law design","Path planning","B","The DH convention provides a systematic method for assigning coordinate frames to joints in serial manipulators and deriving forward kinematics. It uses four parameters per joint (a, α, d, θ) to completely specify the kinematic structure."
"What is the difference between forward and inverse kinematics?","Speed of computation","Forward: joints to end-effector pose; Inverse: pose to joint angles","Accuracy levels","Computational complexity only","B","Forward kinematics computes end-effector position and orientation from given joint angles. Inverse kinematics solves for joint angles needed to achieve a desired end-effector pose. Inverse kinematics is generally more complex and may have multiple solutions."
"What is the Jacobian matrix in robotics?","Inertia matrix derivative","Matrix relating joint velocities to end-effector velocity","Force transformation matrix","Compliance matrix","B","The Jacobian matrix J(q) linearly relates joint velocities q̇ to end-effector velocity: ẋ = J(q)q̇. It's fundamental for velocity control, force analysis, and singularity analysis. The Jacobian depends on the current configuration q."
"What is force control in robotics?","Controlling actuator forces","Regulating forces exerted by robot on environment","Maximum force limitation","Force sensor calibration","B","Force control regulates the forces and torques that the robot exerts on its environment during contact tasks. This is essential for assembly, polishing, and other interaction tasks where force levels are critical for task success."
"What is hybrid position/force control?","Switching between position and force control","Simultaneous control of position and force in different directions","Mixed actuator types","Combined sensor feedback","B","Hybrid position/force control simultaneously regulates position in some directions and force in orthogonal directions. This is natural for many manipulation tasks where precise positioning is needed in some directions while maintaining contact forces in others."
"What is admittance control?","Controlling system accessibility","Controlling motion response to forces","Access control for robot systems","Allowing/denying robot actions","B","Admittance control regulates how the robot moves in response to applied forces, implementing a desired dynamic relationship between forces and motions. It's the dual of impedance control and is often easier to implement on position-controlled robots."
"What is the concept of operational space control?","Controlling in joint space","Controlling end-effector motion directly in Cartesian space","Controlling during operation only","Controlling operational parameters","B","Operational space control (OSC) directly controls the end-effector's motion in Cartesian space rather than in joint space. It uses the manipulator dynamics to achieve desired accelerations in operational (task) space while handling the mapping between joint and operational spaces."
"What is redundancy resolution in robotics?","Solving sensor redundancy","Choosing among infinite solutions for redundant manipulators","Backup system activation","Error correction methods","B","Redundancy resolution addresses how to choose joint motions when a redundant manipulator has more degrees of freedom than needed for a task. Multiple joint configurations can achieve the same end-effector pose, and optimization criteria are used to select among them."
"What is the concept of null space in robotics?","Empty workspace regions","Joint motions that don't affect end-effector","Zero force directions","Undefined configurations","B","The null space contains joint motions that don't affect the end-effector pose. For redundant manipulators, null space motions can be used for secondary objectives like obstacle avoidance or singularity avoidance while maintaining the primary task."
"What is trajectory planning in robotics?","Planning robot installation","Determining desired motion profiles over time","Route optimization","Maintenance scheduling","B","Trajectory planning determines the desired time evolution of position, velocity, and acceleration profiles that the robot should follow to move from start to goal configurations. It considers kinematic/dynamic constraints and optimization criteria."
"What is motion primitives in robotics?","Basic mechanical components","Elementary motion patterns that can be combined","Primitive control algorithms","Simple robot designs","B","Motion primitives are elementary motion patterns or behaviors that can be combined to create complex motions. Examples include reaching, grasping, and walking steps. They provide building blocks for composing sophisticated robot behaviors."
"What is dynamic manipulation?","Fast manipulation tasks","Manipulation exploiting object and robot dynamics","Changing manipulation strategies","Multi-robot manipulation","B","Dynamic manipulation exploits the natural dynamics of both the robot and manipulated objects to achieve tasks that would be impossible with quasi-static approaches. Examples include juggling, throwing, and catching operations."
"What is the concept of virtual fixtures in robotics?","Simulated robot components","Guidance constraints for robot motion","Virtual reality interfaces","Software-defined boundaries","B","Virtual fixtures provide guidance constraints that assist human operators or autonomous systems in performing tasks. They can enforce geometric constraints, forbidden regions, or preferred motion patterns, effectively creating virtual walls or guides in task space."
"What is shared control in robotics?","Multiple robots sharing tasks","Human and robot sharing control authority","Distributed computing","Resource sharing","B","Shared control involves human operators and autonomous systems sharing control authority. The robot provides assistance while the human retains high-level decision making. The allocation of control can be dynamic based on context and operator skill."
"What is teleoperation in robotics?","Automatic operation","Remote control of robots by human operators","Telephone-based control","Wireless communication","B","Teleoperation enables human operators to control robots remotely, often with haptic feedback. It's essential for dangerous environments, space applications, and microsurgery where direct human presence is impossible or undesirable."
